ADM	ANG	ANXA1	BGN	C1R	CASP4	CAV1	CCL2	CCL20	COL4A2	COL5A1	DCN	DPP4	EGFR	EMP3	FN1	FSTL1	G0S2	HMOX1	IGFBP3	IL6	ISG20	ITGA5	LDHA	LGALS3	LIF	LOX	LUM	MMP11	MMP14
Epithelial mesenchymal transition	0	0	0	48.5142785735184	0	0	0	0	0	48.5142785735184	48.5142785735184	48.5142785735184	0	0	48.5142785735184	48.5142785735184	48.5142785735184	0	0	48.5142785735184	48.5142785735184	0	48.5142785735184	0	0	0	48.5142785735184	48.5142785735184	0	48.5142785735184
Coagulation	0	12.593459819566	12.593459819566	0	12.593459819566	0	0	0	0	0	0	0	12.593459819566	0	0	12.593459819566	0	0	0	0	0	0	0	0	0	0	0	0	12.593459819566	12.593459819566
Hypoxia	12.2612194415156	0	0	12.2612194415156	0	0	12.2612194415156	0	0	0	12.2612194415156	12.2612194415156	0	12.2612194415156	0	0	0	0	12.2612194415156	12.2612194415156	12.2612194415156	12.2612194415156	0	12.2612194415156	0	0	12.2612194415156	0	0	0
KRAS signaling up	0	0	0	0	0	0	0	0	12.2612194415156	0	0	0	0	0	0	0	0	12.2612194415156	0	12.2612194415156	0	0	0	0	0	12.2612194415156	0	0	12.2612194415156	0
Apoptosis	0	0	9.65757731917779	9.65757731917779	0	9.65757731917779	9.65757731917779	0	0	0	0	9.65757731917779	0	0	0	0	0	0	9.65757731917779	0	9.65757731917779	9.65757731917779	0	0	9.65757731917779	0	0	9.65757731917779	0	0
Complement	0	9.36351210364663	0	0	9.36351210364663	9.36351210364663	0	0	0	9.36351210364663	0	0	9.36351210364663	0	0	9.36351210364663	0	0	0	0	9.36351210364663	0	0	0	9.36351210364663	0	0	0	0	9.36351210364663
Inflammatory response	9.36051351073141	0	0	0	0	0	0	9.36051351073141	9.36051351073141	0	0	0	0	0	9.36051351073141	0	0	0	0	0	9.36051351073141	0	9.36051351073141	0	0	9.36051351073141	0	0	0	9.36051351073141
Angiogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.13076828026902	0	0	0	0	0	0	0	0	0	0	9.13076828026902	0	0
TNFA signaling via NFKB	0	0	0	0	0	0	0	6.73048705578208	6.73048705578208	0	0	0	0	0	0	0	0	6.73048705578208	0	0	6.73048705578208	0	0	0	0	6.73048705578208	0	0	0	0
Glycolysis	0	6.73048705578208	0	0	0	0	0	0	0	0	6.73048705578208	6.73048705578208	0	6.73048705578208	0	0	0	0	0	6.73048705578208	0	6.73048705578208	0	6.73048705578208	0	0	0	0	0	0
