gene	log2FC	FDR
ACTBP11	3.49111013010543	0
ACTBP1	3.53666955989545	0
AC106800.1	3.43883564257485	3.06601398156493e-304
ACTBP2	2.90700311884635	3.04715994904622e-273
ACTG1P19	3.11365530556096	2.65305726040397e-267
TMSB4XP2	4.68531868924193	3.20427156589427e-261
AC239600.2	3.85309439965474	1.51576675795586e-252
AC110056.1	3.33920263699702	2.52210473669694e-235
GAPDHP69	3.58738892968944	9.41522053683227e-231
ACTG1P21	3.41470626412753	2.45167145776882e-225
AL080243.1	2.51509149297764	3.75086656157827e-224
GAPDHP44	3.33109454598397	1.71777878870954e-223
EEF1A1P24	2.84178801779127	8.8541428647182e-223
AC139143.1	3.36992684077028	2.84264306512206e-220
GAPDHP73	3.40208795637734	5.61096396643911e-216
TMSB4XP8	3.72842711602357	4.55731025077281e-213
ACTBP8	2.99181490997117	1.16328025115464e-210
GAPDHP58	3.67650094121752	3.47969167125083e-209
AC026410.1	3.20596147275606	8.48830239489348e-206
GAPDHP61	2.89166536321907	2.41605366852849e-204
POTEKP	3.48408039904771	2.68210193923846e-203
AC099335.1	3.02023807247803	7.2098812909409e-197
ACTBP9	2.77781267210073	1.36990813830945e-196
AL391416.1	3.06083000962329	1.90058002642073e-194
GAPDHP63	2.84002181594985	4.06791527473902e-193
GAPDHP72	2.07163116558667	9.56947113357659e-192
EEF1A1P17	3.02062349193672	9.84044121182651e-191
AC104619.3	2.41358404794399	1.13068890392435e-189
GAPDHP40	2.74701238746475	2.17768210258932e-189
EEF1A1P30	2.28943127273235	1.97678027071201e-185
AC108751.5	2.96988601076584	5.11957821110042e-182
TMSB4XP1	4.42916759104301	2.56856215585475e-181
UBBP1	2.50723602698011	1.57737675303388e-180
FTH1P4	2.84518495076198	2.44393064300177e-179
AP000529.1	2.89313919078288	7.27897203730744e-173
AC087477.6	3.38243337271427	5.74764094732956e-171
GAPDHP60	2.47340431960039	1.18575092498022e-170
GAPDHP65	2.42942842507821	5.00297994845129e-168
EEF1A1P28	2.62039372003997	3.06873536247004e-167
EEF1A1P3	2.56234740799025	4.94617749107389e-167
GAPDHP25	3.40460694666286	4.19408760270708e-165
AC079328.1	2.82880623122225	1.06264612394027e-164
AC010409.2	3.60426092913765	1.27758566902858e-164
EEF1A1P26	2.85048130502076	1.20040620563353e-163
GAPDHP67	3.31005676622935	7.78247119105862e-160
AC098847.1	3.11202096536502	2.42747219095258e-159
FTH1P12	2.5457132234593	2.73389199893975e-159
AC008799.1	3.23613019374839	2.03872916317476e-157
EEF1A1P2	2.78314535498692	3.84745411258915e-155
AC020658.1	3.61315559745105	3.41950413147804e-153
PKMP5	3.10483465310474	3.57380539542334e-152
EEF1A1P42	2.87028958124319	9.0365226346977e-152
EEF1A1P8	2.14421197208602	3.60916144790683e-151
AC022018.1	2.85943245142656	3.77393910672159e-151
GAPDHP38	2.86262775918688	8.28713164741736e-151
GAPDHP21	2.97908204625312	1.67281979397775e-150
FTLP2	3.06698986030708	4.90095446858587e-150
GAPDHP64	3.3712849634037	8.09041573234801e-148
AL358176.3	3.77673638329658	1.92915398366594e-145
EEF1A1P38	2.28763066723346	4.50001761064439e-145
EEF1A1P14	2.29124820754316	8.34349917641595e-145
RPL10P1	2.73200252267328	1.79593611032477e-144
Z96811.1	3.70058698614095	5.48055887092299e-144
UBBP2	2.66992473857996	1.31919190793135e-143
