chr	start	end
chr1	470000	480000
chr1	660000	670000
chr1	670000	680000
chr1	690000	700000
chr1	710000	720000
chr1	910000	920000
chr1	910000	920000
chr1	1010000	1020000
chr1	1020000	1030000
chr1	1330000	1340000
chr1	2040000	2050000
chr1	2070000	2080000
chr1	2090000	2100000
chr1	2220000	2230000
chr1	2250000	2260000
chr1	2420000	2430000
chr1	2500000	2510000
chr1	2540000	2550000
chr1	2540000	2550000
chr1	3140000	3150000
chr1	3210000	3220000
chr1	3560000	3570000
chr1	3620000	3630000
chr1	3640000	3650000
chr1	3650000	3660000
chr1	4250000	4260000
chr1	4260000	4270000
chr1	4270000	4280000
chr1	4280000	4290000
chr1	4290000	4300000
chr1	4480000	4490000
chr1	4490000	4500000
chr1	5030000	5040000
chr1	5040000	5050000
chr1	5150000	5160000
chr1	5170000	5180000
chr1	5390000	5400000
chr1	5630000	5640000
chr1	5650000	5660000
chr1	5680000	5690000
chr1	5690000	5700000
chr1	5980000	5990000
chr1	6150000	6160000
chr1	6410000	6420000
chr1	6860000	6870000
chr1	6870000	6880000
chr1	7100000	7110000
chr1	7130000	7140000
chr1	8320000	8330000
chr1	8410000	8420000
chr1	8420000	8430000
chr1	8430000	8440000
chr1	8440000	8450000
chr1	8450000	8460000
chr1	8460000	8470000
chr1	8510000	8520000
chr1	8520000	8530000
chr1	8580000	8590000
chr1	8690000	8700000
chr1	8760000	8770000
chr1	8770000	8780000
chr1	8910000	8920000
chr1	8920000	8930000
chr1	9000000	9010000
chr1	9080000	9090000
chr1	9090000	9100000
chr1	9100000	9110000
chr1	9400000	9410000
chr1	9410000	9420000
chr1	9720000	9730000
chr1	10150000	10160000
chr1	10160000	10170000
chr1	10510000	10520000
chr1	10770000	10780000
chr1	10780000	10790000
chr1	11300000	11310000
chr1	11310000	11320000
chr1	11410000	11420000
chr1	11660000	11670000
chr1	11910000	11920000
chr1	12250000	12260000
chr1	12270000	12280000
chr1	12280000	12290000
chr1	12510000	12520000
chr1	12520000	12530000
chr1	12530000	12540000
chr1	12790000	12800000
chr1	12800000	12810000
chr1	13120000	13130000
chr1	14190000	14200000
chr1	14200000	14210000
chr1	14210000	14220000
chr1	14280000	14290000
chr1	14310000	14320000
chr1	14490000	14500000
chr1	14530000	14540000
chr1	14680000	14690000
chr1	14690000	14700000
chr1	15290000	15300000
chr1	15810000	15820000
chr1	15960000	15970000
chr1	15970000	15980000
chr1	16030000	16040000
chr1	16470000	16480000
chr1	16560000	16570000
chr1	16570000	16580000
chr1	18270000	18280000
chr1	18680000	18690000
chr1	18980000	18990000
chr1	18990000	19000000
chr1	19370000	19380000
chr1	19660000	19670000
chr1	20020000	20030000
chr1	20030000	20040000
chr1	20040000	20050000
chr1	20050000	20060000
chr1	20070000	20080000
chr1	20080000	20090000
chr1	20170000	20180000
chr1	20220000	20230000
chr1	20240000	20250000
chr1	21370000	21380000
chr1	21470000	21480000
chr1	21820000	21830000
chr1	22070000	22080000
chr1	22080000	22090000
chr1	22090000	22100000
chr1	22450000	22460000
chr1	22460000	22470000
chr1	22470000	22480000
chr1	22470000	22480000
chr1	22480000	22490000
chr1	22530000	22540000
chr1	22560000	22570000
chr1	22940000	22950000
chr1	22950000	22960000
chr1	22960000	22970000
chr1	22970000	22980000
chr1	22980000	22990000
chr1	23000000	23010000
chr1	23010000	23020000
chr1	23030000	23040000
chr1	23040000	23050000
chr1	23100000	23110000
chr1	23200000	23210000
chr1	23210000	23220000
chr1	23220000	23230000
chr1	23390000	23400000
chr1	23400000	23410000
chr1	23520000	23530000
chr1	23610000	23620000
chr1	23790000	23800000
chr1	24170000	24180000
chr1	24190000	24200000
chr1	24200000	24210000
chr1	24500000	24510000
chr1	24760000	24770000
chr1	25080000	25090000
chr1	25130000	25140000
chr1	25490000	25500000
chr1	25500000	25510000
chr1	25510000	25520000
chr1	25550000	25560000
chr1	25570000	25580000
chr1	25590000	25600000
chr1	25640000	25650000
chr1	25650000	25660000
chr1	25660000	25670000
chr1	25730000	25740000
chr1	25740000	25750000
chr1	25880000	25890000
chr1	26460000	26470000
chr1	26480000	26490000
chr1	26490000	26500000
chr1	26560000	26570000
chr1	26570000	26580000
chr1	26600000	26610000
chr1	27470000	27480000
chr1	27480000	27490000
chr1	27530000	27540000
chr1	27540000	27550000
chr1	27550000	27560000
chr1	27560000	27570000
chr1	27570000	27580000
chr1	27580000	27590000
chr1	27590000	27600000
chr1	27690000	27700000
chr1	28210000	28220000
chr1	28270000	28280000
chr1	29000000	29010000
chr1	29450000	29460000
chr1	29470000	29480000
chr1	29480000	29490000
chr1	29500000	29510000
chr1	29510000	29520000
chr1	29530000	29540000
chr1	30400000	30410000
chr1	30410000	30420000
chr1	30420000	30430000
chr1	30450000	30460000
chr1	30800000	30810000
chr1	31300000	31310000
chr1	31320000	31330000
chr1	31350000	31360000
chr1	31360000	31370000
chr1	31370000	31380000
chr1	31380000	31390000
chr1	31460000	31470000
chr1	31600000	31610000
chr1	31610000	31620000
chr1	31780000	31790000
chr1	31790000	31800000
chr1	31890000	31900000
chr1	31900000	31910000
chr1	31910000	31920000
chr1	31920000	31930000
chr1	31930000	31940000
chr1	32040000	32050000
chr1	32060000	32070000
chr1	32070000	32080000
chr1	33040000	33050000
chr1	33110000	33120000
chr1	33200000	33210000
chr1	33200000	33210000
chr1	33210000	33220000
chr1	33220000	33230000
chr1	33450000	33460000
chr1	34290000	34300000
chr1	34540000	34550000
chr1	34550000	34560000
chr1	34560000	34570000
chr1	34570000	34580000
chr1	34570000	34580000
chr1	34570000	34580000
chr1	34580000	34590000
chr1	34590000	34600000
chr1	35160000	35170000
chr1	35170000	35180000
chr1	35460000	35470000
chr1	35590000	35600000
chr1	35600000	35610000
chr1	35930000	35940000
chr1	35960000	35970000
chr1	36190000	36200000
chr1	36260000	36270000
chr1	36560000	36570000
chr1	36890000	36900000
chr1	36900000	36910000
chr1	36910000	36920000
chr1	36920000	36930000
chr1	36930000	36940000
chr1	36940000	36950000
chr1	37220000	37230000
chr1	37220000	37230000
chr1	37230000	37240000
chr1	37240000	37250000
chr1	37250000	37260000
chr1	37270000	37280000
chr1	37750000	37760000
chr1	37880000	37890000
chr1	37890000	37900000
chr1	37900000	37910000
chr1	37960000	37970000
chr1	37970000	37980000
chr1	38110000	38120000
chr1	38120000	38130000
chr1	38130000	38140000
chr1	38310000	38320000
chr1	38320000	38330000
chr1	38330000	38340000
chr1	38340000	38350000
chr1	38420000	38430000
chr1	38620000	38630000
chr1	38630000	38640000
chr1	38640000	38650000
chr1	38650000	38660000
chr1	38670000	38680000
chr1	38840000	38850000
chr1	38850000	38860000
chr1	38860000	38870000
chr1	38870000	38880000
chr1	39180000	39190000
chr1	39190000	39200000
chr1	39690000	39700000
chr1	39700000	39710000
chr1	39710000	39720000
chr1	39710000	39720000
chr1	39720000	39730000
chr1	39720000	39730000
chr1	39730000	39740000
chr1	39740000	39750000
chr1	39750000	39760000
chr1	39780000	39790000
chr1	39790000	39800000
chr1	39800000	39810000
chr1	39810000	39820000
chr1	39820000	39830000
chr1	39820000	39830000
chr1	39830000	39840000
chr1	40170000	40180000
chr1	40180000	40190000
chr1	40190000	40200000
chr1	40450000	40460000
chr1	40520000	40530000
chr1	40580000	40590000
chr1	41130000	41140000
chr1	41140000	41150000
chr1	41160000	41170000
chr1	41170000	41180000
chr1	41220000	41230000
chr1	41250000	41260000
chr1	41260000	41270000
chr1	41270000	41280000
chr1	41280000	41290000
chr1	41290000	41300000
chr1	41290000	41300000
chr1	41300000	41310000
chr1	41310000	41320000
chr1	41420000	41430000
chr1	41530000	41540000
chr1	41530000	41540000
chr1	41600000	41610000
chr1	41610000	41620000
chr1	41640000	41650000
chr1	41900000	41910000
chr1	42060000	42070000
chr1	42070000	42080000
chr1	42080000	42090000
chr1	42090000	42100000
chr1	42100000	42110000
chr1	42110000	42120000
chr1	42120000	42130000
chr1	42210000	42220000
chr1	42220000	42230000
chr1	42300000	42310000
chr1	42310000	42320000
chr1	42320000	42330000
chr1	42330000	42340000
chr1	42340000	42350000
chr1	42460000	42470000
chr1	42470000	42480000
chr1	42480000	42490000
chr1	42490000	42500000
chr1	42500000	42510000
chr1	42510000	42520000
chr1	42620000	42630000
chr1	42690000	42700000
chr1	42690000	42700000
chr1	42700000	42710000
chr1	42710000	42720000
chr1	42830000	42840000
chr1	42840000	42850000
chr1	42850000	42860000
chr1	42860000	42870000
chr1	42870000	42880000
chr1	42880000	42890000
chr1	43020000	43030000
chr1	43070000	43080000
chr1	43080000	43090000
chr1	43150000	43160000
chr1	43160000	43170000
chr1	43770000	43780000
chr1	43880000	43890000
chr1	44090000	44100000
chr1	44110000	44120000
chr1	44120000	44130000
chr1	44170000	44180000
chr1	44240000	44250000
chr1	44430000	44440000
chr1	44440000	44450000
chr1	44450000	44460000
chr1	44460000	44470000
chr1	44470000	44480000
chr1	44480000	44490000
chr1	44490000	44500000
chr1	44490000	44500000
chr1	44490000	44500000
chr1	44500000	44510000
chr1	44510000	44520000
chr1	44510000	44520000
chr1	44520000	44530000
chr1	44520000	44530000
chr1	44520000	44530000
chr1	44520000	44530000
chr1	44530000	44540000
chr1	45050000	45060000
chr1	45060000	45070000
chr1	45070000	45080000
chr1	45110000	45120000
chr1	45120000	45130000
chr1	45130000	45140000
chr1	45140000	45150000
chr1	45150000	45160000
chr1	45160000	45170000
chr1	45490000	45500000
chr1	45950000	45960000
chr1	45960000	45970000
chr1	45970000	45980000
chr1	46660000	46670000
chr1	46680000	46690000
chr1	46690000	46700000
chr1	46700000	46710000
chr1	46710000	46720000
chr1	46720000	46730000
chr1	46730000	46740000
chr1	46730000	46740000
chr1	46740000	46750000
chr1	46750000	46760000
chr1	46760000	46770000
chr1	46770000	46780000
chr1	46840000	46850000
chr1	46850000	46860000
chr1	46860000	46870000
chr1	46870000	46880000
chr1	46880000	46890000
chr1	46890000	46900000
chr1	46930000	46940000
chr1	46940000	46950000
chr1	47000000	47010000
chr1	47010000	47020000
chr1	47060000	47070000
chr1	47090000	47100000
chr1	47100000	47110000
chr1	48100000	48110000
chr1	48140000	48150000
chr1	48160000	48170000
chr1	48170000	48180000
chr1	48250000	48260000
chr1	48310000	48320000
chr1	48320000	48330000
chr1	48360000	48370000
chr1	48440000	48450000
chr1	48760000	48770000
chr1	48770000	48780000
chr1	48780000	48790000
chr1	48790000	48800000
chr1	48860000	48870000
chr1	48960000	48970000
chr1	49100000	49110000
chr1	49180000	49190000
chr1	49190000	49200000
chr1	49200000	49210000
chr1	49210000	49220000
chr1	49390000	49400000
chr1	49440000	49450000
chr1	49450000	49460000
chr1	49460000	49470000
chr1	49470000	49480000
chr1	49480000	49490000
chr1	49500000	49510000
chr1	49540000	49550000
chr1	49770000	49780000
chr1	49780000	49790000
chr1	49790000	49800000
chr1	49800000	49810000
chr1	49810000	49820000
chr1	49820000	49830000
chr1	49830000	49840000
chr1	49840000	49850000
chr1	49850000	49860000
chr1	49880000	49890000
chr1	49890000	49900000
chr1	49900000	49910000
chr1	49910000	49920000
chr1	49930000	49940000
chr1	49940000	49950000
chr1	49950000	49960000
chr1	49960000	49970000
chr1	49980000	49990000
chr1	49990000	50000000
chr1	50000000	50010000
chr1	50010000	50020000
chr1	50410000	50420000
chr1	50740000	50750000
chr1	50750000	50760000
chr1	50760000	50770000
chr1	50770000	50780000
chr1	50780000	50790000
chr1	50880000	50890000
chr1	51000000	51010000
chr1	51010000	51020000
chr1	51030000	51040000
chr1	51040000	51050000
chr1	51100000	51110000
chr1	51130000	51140000
chr1	51140000	51150000
chr1	51150000	51160000
chr1	51160000	51170000
chr1	51380000	51390000
chr1	51390000	51400000
chr1	51520000	51530000
chr1	51630000	51640000
chr1	51640000	51650000
chr1	51670000	51680000
chr1	51690000	51700000
chr1	51700000	51710000
chr1	51930000	51940000
chr1	51940000	51950000
chr1	52220000	52230000
chr1	52220000	52230000
chr1	52230000	52240000
chr1	52240000	52250000
chr1	52690000	52700000
chr1	53000000	53010000
chr1	53290000	53300000
chr1	53300000	53310000
chr1	54620000	54630000
chr1	54630000	54640000
chr1	54640000	54650000
chr1	54650000	54660000
chr1	54910000	54920000
chr1	54950000	54960000
chr1	55120000	55130000
chr1	55260000	55270000
chr1	55360000	55370000
chr1	55410000	55420000
chr1	55420000	55430000
chr1	55420000	55430000
chr1	55430000	55440000
chr1	55440000	55450000
chr1	55450000	55460000
chr1	55490000	55500000
chr1	55500000	55510000
chr1	55560000	55570000
chr1	55570000	55580000
chr1	55620000	55630000
chr1	55630000	55640000
chr1	55640000	55650000
chr1	55730000	55740000
chr1	55740000	55750000
chr1	55810000	55820000
chr1	55930000	55940000
chr1	55940000	55950000
chr1	56060000	56070000
chr1	56070000	56080000
chr1	56090000	56100000
chr1	56100000	56110000
chr1	56110000	56120000
chr1	56110000	56120000
chr1	56120000	56130000
chr1	56120000	56130000
chr1	56120000	56130000
chr1	56190000	56200000
chr1	56260000	56270000
chr1	56270000	56280000
chr1	56280000	56290000
chr1	56290000	56300000
chr1	56300000	56310000
chr1	56310000	56320000
chr1	56320000	56330000
chr1	56330000	56340000
chr1	56340000	56350000
chr1	56350000	56360000
chr1	56400000	56410000
chr1	56410000	56420000
chr1	56550000	56560000
chr1	56560000	56570000
chr1	56620000	56630000
chr1	56740000	56750000
chr1	56770000	56780000
chr1	56780000	56790000
chr1	56790000	56800000
chr1	56820000	56830000
chr1	56830000	56840000
chr1	56840000	56850000
chr1	56850000	56860000
chr1	56860000	56870000
chr1	57130000	57140000
chr1	57160000	57170000
chr1	57170000	57180000
chr1	57180000	57190000
chr1	57290000	57300000
chr1	57300000	57310000
chr1	57320000	57330000
chr1	57500000	57510000
chr1	57900000	57910000
chr1	57910000	57920000
chr1	58030000	58040000
chr1	58190000	58200000
chr1	58200000	58210000
chr1	58480000	58490000
chr1	58490000	58500000
chr1	58600000	58610000
chr1	58610000	58620000
chr1	58650000	58660000
chr1	58670000	58680000
chr1	58680000	58690000
chr1	58760000	58770000
chr1	58950000	58960000
chr1	58960000	58970000
chr1	59180000	59190000
chr1	59250000	59260000
chr1	59260000	59270000
chr1	59270000	59280000
chr1	59330000	59340000
chr1	59410000	59420000
chr1	59420000	59430000
chr1	59530000	59540000
chr1	59570000	59580000
chr1	59570000	59580000
chr1	59580000	59590000
chr1	59590000	59600000
chr1	59600000	59610000
chr1	59610000	59620000
chr1	59620000	59630000
chr1	59630000	59640000
chr1	59730000	59740000
chr1	59880000	59890000
chr1	60020000	60030000
chr1	60030000	60040000
chr1	60060000	60070000
chr1	60600000	60610000
chr1	60800000	60810000
chr1	60810000	60820000
chr1	60930000	60940000
chr1	60940000	60950000
chr1	60950000	60960000
chr1	60960000	60970000
chr1	60970000	60980000
chr1	61790000	61800000
chr1	61800000	61810000
chr1	61810000	61820000
chr1	61820000	61830000
chr1	62240000	62250000
chr1	62250000	62260000
chr1	62270000	62280000
chr1	62300000	62310000
chr1	62510000	62520000
chr1	62680000	62690000
chr1	62840000	62850000
chr1	63040000	63050000
chr1	63150000	63160000
chr1	63160000	63170000
chr1	63190000	63200000
chr1	63210000	63220000
chr1	63220000	63230000
chr1	63230000	63240000
chr1	63420000	63430000
chr1	63490000	63500000
chr1	63500000	63510000
chr1	63510000	63520000
chr1	63570000	63580000
chr1	63750000	63760000
chr1	63780000	63790000
chr1	63800000	63810000
chr1	63810000	63820000
chr1	63830000	63840000
chr1	63940000	63950000
chr1	63950000	63960000
chr1	64080000	64090000
chr1	64090000	64100000
chr1	64100000	64110000
chr1	64110000	64120000
chr1	64160000	64170000
chr1	64290000	64300000
chr1	64300000	64310000
chr1	64310000	64320000
chr1	64320000	64330000
chr1	64340000	64350000
chr1	64350000	64360000
chr1	64360000	64370000
chr1	64370000	64380000
chr1	64390000	64400000
chr1	64400000	64410000
chr1	65180000	65190000
chr1	65190000	65200000
chr1	65200000	65210000
chr1	65620000	65630000
chr1	65740000	65750000
chr1	65760000	65770000
chr1	65770000	65780000
chr1	65780000	65790000
chr1	66000000	66010000
chr1	66010000	66020000
chr1	66200000	66210000
chr1	66310000	66320000
chr1	66460000	66470000
chr1	66470000	66480000
chr1	66480000	66490000
chr1	66490000	66500000
chr1	66510000	66520000
chr1	66550000	66560000
chr1	66780000	66790000
chr1	66790000	66800000
chr1	67370000	67380000
chr1	67540000	67550000
chr1	67980000	67990000
chr1	68830000	68840000
chr1	68840000	68850000
chr1	68840000	68850000
chr1	68850000	68860000
chr1	68860000	68870000
chr1	68870000	68880000
chr1	68880000	68890000
chr1	68890000	68900000
chr1	68900000	68910000
chr1	68910000	68920000
chr1	69060000	69070000
chr1	69070000	69080000
chr1	69410000	69420000
chr1	69960000	69970000
chr1	69970000	69980000
chr1	70480000	70490000
chr1	70770000	70780000
chr1	70850000	70860000
chr1	70860000	70870000
chr1	70870000	70880000
chr1	70900000	70910000
chr1	70960000	70970000
chr1	70970000	70980000
chr1	70990000	71000000
chr1	71110000	71120000
chr1	71120000	71130000
chr1	71130000	71140000
chr1	71140000	71150000
chr1	71440000	71450000
chr1	71450000	71460000
chr1	71980000	71990000
chr1	72420000	72430000
chr1	72430000	72440000
chr1	72490000	72500000
chr1	72820000	72830000
chr1	72830000	72840000
chr1	72840000	72850000
chr1	72910000	72920000
chr1	72920000	72930000
chr1	72930000	72940000
chr1	73230000	73240000
chr1	73280000	73290000
chr1	73350000	73360000
chr1	73360000	73370000
chr1	73360000	73370000
chr1	73370000	73380000
chr1	73480000	73490000
chr1	73490000	73500000
chr1	73520000	73530000
chr1	73530000	73540000
chr1	73830000	73840000
chr1	73840000	73850000
chr1	73850000	73860000
chr1	73860000	73870000
chr1	73900000	73910000
chr1	73980000	73990000
chr1	74030000	74040000
chr1	74040000	74050000
chr1	74050000	74060000
chr1	74170000	74180000
chr1	74520000	74530000
chr1	74530000	74540000
chr1	74540000	74550000
chr1	74550000	74560000
chr1	74560000	74570000
chr1	74570000	74580000
chr1	74840000	74850000
chr1	74850000	74860000
chr1	74860000	74870000
chr1	74870000	74880000
chr1	74910000	74920000
chr1	74920000	74930000
chr1	74930000	74940000
chr1	74980000	74990000
chr1	74990000	75000000
chr1	75060000	75070000
chr1	75070000	75080000
chr1	75170000	75180000
chr1	75250000	75260000
chr1	75260000	75270000
chr1	75270000	75280000
chr1	75280000	75290000
chr1	75290000	75300000
chr1	75300000	75310000
chr1	75420000	75430000
chr1	75430000	75440000
chr1	75440000	75450000
chr1	75440000	75450000
chr1	75450000	75460000
chr1	75600000	75610000
chr1	75940000	75950000
chr1	75950000	75960000
chr1	76170000	76180000
chr1	76300000	76310000
chr1	76790000	76800000
chr1	76800000	76810000
chr1	76810000	76820000
chr1	76890000	76900000
chr1	76900000	76910000
chr1	76900000	76910000
chr1	76900000	76910000
chr1	76910000	76920000
chr1	76940000	76950000
chr1	76950000	76960000
chr1	76960000	76970000
chr1	76970000	76980000
chr1	76980000	76990000
chr1	77100000	77110000
chr1	77110000	77120000
chr1	77130000	77140000
chr1	77140000	77150000
chr1	77150000	77160000
chr1	77230000	77240000
chr1	77240000	77250000
chr1	77290000	77300000
chr1	77300000	77310000
chr1	77400000	77410000
chr1	77410000	77420000
chr1	77460000	77470000
chr1	77510000	77520000
chr1	77590000	77600000
chr1	77600000	77610000
chr1	77600000	77610000
chr1	77610000	77620000
chr1	77610000	77620000
chr1	77620000	77630000
chr1	77620000	77630000
chr1	77630000	77640000
chr1	77640000	77650000
chr1	77650000	77660000
chr1	77850000	77860000
chr1	77970000	77980000
chr1	77980000	77990000
chr1	78140000	78150000
chr1	78200000	78210000
chr1	78210000	78220000
chr1	78220000	78230000
chr1	78390000	78400000
chr1	78470000	78480000
chr1	78480000	78490000
chr1	78540000	78550000
chr1	78550000	78560000
chr1	78600000	78610000
chr1	78610000	78620000
chr1	78670000	78680000
chr1	78690000	78700000
chr1	78720000	78730000
chr1	78750000	78760000
chr1	78760000	78770000
chr1	78770000	78780000
chr1	78780000	78790000
chr1	78790000	78800000
chr1	78800000	78810000
chr1	78810000	78820000
chr1	78820000	78830000
chr1	78850000	78860000
chr1	79060000	79070000
chr1	79070000	79080000
