transcript.symbol	baseMean	log2FoldChange	padj
ENST00000176183.5	DRD4-201	0.989826653150491	0.2652524293	0
ENST00000211287.8	MAPK13-201	1.38183273634298	0.2596726074	0
ENST00000215730.11	SNAP29-201	3.91699503914544	-0.2387821241	0
ENST00000215743.7	MMP11-201	1.95824640044606	0.2711709922	0
ENST00000216487.11	RIN3-201	2.42070691998459	-0.2537000192	0
ENST00000218652.11	NDFIP2-201	3.56611237402616	-0.2129390588	0
ENST00000221784.8	PDCD5-201	3.94343877837474	-0.2568480148	0
ENST00000222482.9	CPA4-201	0.610054320823389	0.2962355242	0
ENST00000222644.9	MPP6-201	2.42566238163324	-0.2020842119	0
ENST00000222990.7	SNX8-201	3.62714411785544	-0.2217288395	0
ENST00000223398.10	CLIP2-201	5.49999152259905	-0.2451472892	0
ENST00000225504.7	SUPT4H1-201	5.58986476793224	-0.2669389376	0
ENST00000225964.9	COL1A1-201	5.70998398298715	0.2954786494	0
ENST00000226328.8	RUFY3-201	5.60255332050677	-0.2265077609	0
ENST00000228140.6	RPS13-201	7.76201630500484	-0.2938344239	0
ENST00000228938.5	MGP-201	6.84311905630029	-0.3042141849	0
ENST00000230402.10	PPP2R5D-201	3.55102438779682	-0.2181283693	0
ENST00000232458.9	ECT2-201	2.47894377820971	0.201216389	0
ENST00000235307.6	C1orf21-201	3.18087335244612	-0.2016313412	0
ENST00000235933.10	CD160-201	0.154247007329988	0.2310811026	0
ENST00000236671.6	CTSD-201	7.62964910510355	0.2694243198	0
ENST00000239165.8	HOXB7-201	2.06938111567689	0.2998374506	0
ENST00000242784.4	TRIR-201	6.96717343632621	0.2304645977	0
ENST00000243501.9	PLA2G12A-201	3.34611444040639	-0.2690250883	0
ENST00000244869.2	EREG-201	0.296330221519386	0.2801850625	0
ENST00000245479.2	SOX9-201	4.95141274566101	-0.2534953337	0
ENST00000249116.6	APOBEC3A-201	0.48978009595545	-0.2096112347	0
ENST00000250340.8	CLEC11A-201	3.13987735359364	0.2230912061	0
ENST00000251195.9	CLSPN-201	0.759011176405032	-0.2989972936	0
ENST00000251269.9	ZNF221-201	0.522204862283797	-0.2099670402	0
ENST00000251303.10	SLX1A-201	4.09278241962187	0.2405517749	0
ENST00000251496.6	NCAPG-201	2.12145462188454	-0.2258416883	0
ENST00000251582.11	ADAMTS2-201	0.982767562024425	0.2580500912	0
ENST00000252029.7	TYMP-201	3.41649479690658	0.2198220097	0
ENST00000252456.6	CNN1-201	2.00413402128567	0.2604592524	0
ENST00000252809.3	GDF15-201	3.42806023145496	0.2119802923	0
ENST00000255226.10	SLC14A2-201	0.278471619298239	0.206202765	0
ENST00000256733.8	SAA2-201	3.67188380880195	0.5240586934	0
ENST00000257262.12	TMEM258-201	5.81980341568618	-0.2539224815	0
ENST00000257536.12	CCNJL-201	0.836254595711963	0.2059951264	0
ENST00000258787.11	MYO1G-201	1.04326749515254	0.2406645675	0
ENST00000259008.6	BRIP1-201	1.10649259182528	0.2095067812	0
ENST00000259873.4	MRPS18B-206	5.0984454900051	0.3405465965	0
ENST00000261187.8	SLC16A7-201	1.06219744398949	-0.2691306477	0
ENST00000261266.9	PTPRB-201	1.59715486308685	-0.2079475652	0
ENST00000261427.9	UBE2K-201	4.00867790627921	-0.252648024	0
ENST00000261597.8	NDC80-201	2.90649215242426	0.2087372992	0
ENST00000261854.9	SPPL2A-201	3.21903400418746	-0.2102101576	0
ENST00000261994.8	SERPINA10-201	0.106851306680602	-0.3054663001	0
ENST00000262238.8	YY1-201	4.33956039247568	-0.2652673356	0
ENST00000262580.8	GSDMD-201	3.59200014411836	0.2471032186	0
ENST00000263181.6	KIF18A-201	1.33796737407594	0.2439735497	0
ENST00000264144.4	LAMC2-201	0.259353701540595	0.3423543541	0
ENST00000264170.8	KYNU-201	0.48918914024518	-0.3445228721	0
ENST00000265016.8	BST1-201	1.45236031053941	0.2686949983	0
ENST00000265038.9	ERCC8-201	2.4580397155469	0.2291716068	0
ENST00000265113.8	SLC1A3-201	7.58814570511292	-0.2152824715	0
ENST00000265382.7	PIP5K1B-201	1.55183497078586	-0.2010709848	0
ENST00000265517.9	MTTP-201	1.67424938403561	0.231857743	0
ENST00000266027.9	GNAI2-201	6.45718093798896	0.2010657361	0
ENST00000269385.8	CBX8-201	2.44570915562437	-0.2619773592	0
ENST00000272570.9	ZC3H8-201	1.55945056425945	0.205153512	0
ENST00000273223.10	RPL32-201	9.64391664143255	-0.2730935656	0
ENST00000279392.7	HIRIP3-201	3.92507471800398	-0.215160802	0
ENST00000280749.5	C12orf45-201	2.22529472847613	0.2234090349	0
ENST00000281523.7	ZNF385D-201	0.986938621378939	-0.2355261228	0
ENST00000281830.3	KCNE4-201	3.04962994068538	0.2865117634	0
ENST00000284041.7	SREK1-201	3.69573332909837	0.2061912697	0
ENST00000285393.3	ATP6V0D2-201	0.340546309682351	0.2034756177	0
ENST00000286648.9	DCK-201	3.62564989803892	0.2522815787	0
ENST00000286788.8	CCT8-201	5.32676862129661	0.2490319307	0
ENST00000287474.9	FRRS1-201	0.148061707763676	-0.2399693601	0
ENST00000290573.6	HK2-201	2.86694550787397	-0.2099659833	0
ENST00000290902.9	SPON2-201	2.75148466810074	0.250272509	0
ENST00000291294.6	PTGIR-201	0.52217887227495	0.2391766286	0
ENST00000292363.9	RNF126-201	3.93605413977468	0.2186569826	0
ENST00000295101.2	KCNJ3-201	1.31572388300398	-0.2631746649	0
ENST00000295549.8	LINC01116-201	2.54347806732357	0.2490727664	0
